Date,ticker,mention_count,days_to_add
2021-02-05,CLNE,0,0
2021-02-05,CLOV,11,0
2021-02-05,FORD,105,0
2021-02-05,GME,947,0
2021-02-05,PLTR,9,0
2021-02-05,RKT,0,0
2021-02-05,SENS,47,0
2021-02-05,WKHS,3,0
2021-02-05,WWE,1,0
2021-02-08,AMC,380,3
2021-02-08,BB,192,3
2021-02-08,CLF,1,3
2021-02-08,CLNE,0,3
2021-02-08,CLOV,16,3
2021-02-08,FORD,82,3
2021-02-08,GME,1256,3
2021-02-08,PLTR,20,3
2021-02-08,RKT,4,3
2021-02-08,SENS,74,3
2021-02-08,WKHS,4,3
2021-02-08,WWE,1,3
2021-02-09,AMC,16,0
2021-02-09,BB,19,0
2021-02-09,CLF,0,0
2021-02-09,CLNE,2,0
2021-02-09,CLOV,0,0
2021-02-09,FORD,4,0
2021-02-09,GME,60,0
2021-02-09,PLTR,1,0
2021-02-09,RKT,1,0
2021-02-09,SENS,11,0
2021-02-09,WKHS,1,0
2021-02-09,WWE,0,0
2021-02-10,AMC,24,0
2021-02-10,BB,26,0
2021-02-10,CLF,0,0
2021-02-10,CLNE,0,0
2021-02-10,CLOV,1,0
2021-02-10,FORD,15,0
2021-02-10,GME,87,0
2021-02-10,PLTR,3,0
2021-02-10,RKT,0,0
2021-02-10,SENS,10,0
2021-02-10,WKHS,1,0
2021-02-10,WWE,0,0
2021-02-11,AMC,12,0
2021-02-11,BB,27,0
2021-02-11,CLF,1,0
2021-02-11,CLNE,1,0
2021-02-11,CLOV,0,0
2021-02-11,FORD,9,0
2021-02-11,GME,41,0
2021-02-11,PLTR,4,0
2021-02-11,RKT,0,0
2021-02-11,SENS,10,0
2021-02-11,WKHS,2,0
2021-02-11,WWE,0,0
2021-02-12,AMC,10,0
2021-02-12,BB,24,0
2021-02-12,CLF,1,0
2021-02-12,CLNE,1,0
2021-02-12,CLOV,0,0
2021-02-12,FORD,5,0
2021-02-12,GME,31,0
2021-02-12,PLTR,4,0
2021-02-12,RKT,4,0
2021-02-12,SENS,16,0
2021-02-12,WKHS,0,0
2021-02-12,WWE,0,0
2021-02-15,AMC,15,3
2021-02-15,BB,48,3
2021-02-15,CLF,0,3
2021-02-15,CLNE,0,3
2021-02-15,CLOV,0,3
2021-02-15,FORD,15,3
2021-02-15,GME,88,3
2021-02-15,PLTR,14,3
2021-02-15,RKT,4,3
2021-02-15,SENS,24,3
2021-02-15,WKHS,3,3
2021-02-15,WWE,1,3
2021-02-16,AMC,10,1
2021-02-16,BB,33,1
2021-02-16,CLF,0,1
2021-02-16,CLNE,0,1
2021-02-16,CLOV,1,1
2021-02-16,FORD,12,1
2021-02-16,GME,31,1
2021-02-16,PLTR,18,1
2021-02-16,RKT,2,1
2021-02-16,SENS,18,1
2021-02-16,WKHS,0,1
2021-02-16,WWE,0,1
2021-02-17,AMC,8,0
2021-02-17,BB,14,0
2021-02-17,CLF,0,0
2021-02-17,CLNE,1,0
2021-02-17,CLOV,0,0
2021-02-17,FORD,6,0
2021-02-17,GME,22,0
2021-02-17,PLTR,25,0
2021-02-17,RKT,0,0
2021-02-17,SENS,13,0
2021-02-17,WKHS,0,0
2021-02-17,WWE,0,0
2021-02-18,AMC,11,0
2021-02-18,BB,21,0
2021-02-18,CLF,0,0
2021-02-18,CLNE,0,0
2021-02-18,CLOV,0,0
2021-02-18,FORD,7,0
2021-02-18,GME,43,0
2021-02-18,PLTR,18,0
2021-02-18,RKT,3,0
2021-02-18,SENS,11,0
2021-02-18,WKHS,2,0
2021-02-18,WWE,0,0
2021-02-19,AMC,11,0
2021-02-19,BB,17,0
2021-02-19,CLF,0,0
2021-02-19,CLNE,0,0
2021-02-19,CLOV,0,0
2021-02-19,FORD,4,0
2021-02-19,GME,56,0
2021-02-19,PLTR,39,0
2021-02-19,RKT,1,0
2021-02-19,SENS,5,0
2021-02-19,WKHS,2,0
2021-02-19,WWE,0,0
2021-02-22,AMC,28,3
2021-02-22,BB,57,3
2021-02-22,CLF,2,3
2021-02-22,CLNE,0,3
2021-02-22,CLOV,0,3
2021-02-22,FORD,9,3
2021-02-22,GME,106,3
2021-02-22,PLTR,53,3
