Date,ticker,mention_count,percent_change
2021-03-29,GME,30.0,0.0016561033276205144
2021-03-29,GME,10.0,0.0016561033276205144
2021-03-29,GME,9.0,0.0016561033276205144
2021-03-30,GME,11.0,0.07007338631376198
2021-03-31,GME,7.0,-0.024150227619788807
2021-04-01,GME,22.0,0.008550368695649931
2021-04-05,GME,11.0,-0.02378547688387186
2021-04-05,GME,6.0,-0.02378547688387186
2021-04-05,GME,3.0,-0.02378547688387186
2021-04-05,GME,7.0,-0.02378547688387186
2021-04-06,GME,9.0,-0.013191721618615527
2021-04-07,GME,12.0,-0.03603445985964885
2021-04-08,GME,8.0,-0.04428835542840827
2021-04-09,GME,20.0,-0.07245572210039196
2021-04-12,GME,16.0,-0.11547296742290604
2021-04-12,GME,8.0,-0.11547296742290604
2021-04-12,GME,11.0,-0.11547296742290604
2021-04-13,GME,14.0,-0.0007089538305840706
2021-04-14,GME,15.0,0.16648646120130753
2021-04-15,GME,9.0,-0.06250290054661377
2021-04-16,GME,13.0,-0.011249435462189676
2021-04-19,GME,13.0,0.06069682448106026
2021-04-19,GME,4.0,0.06069682448106026
2021-04-19,GME,3.0,0.06069682448106026
2021-04-20,GME,6.0,-0.03617611235721001
2021-04-21,GME,8.0,-0.00012619400019626937
2021-04-22,GME,3.0,-0.04741262890673755
2021-04-23,GME,4.0,6.61121689580103e-05
2021-04-26,GME,4.0,0.11101325316108407
2021-04-26,GME,1.0,0.11101325316108407
2021-04-26,GME,6.0,0.11101325316108407
2021-04-27,GME,17.0,0.051006219390133015
2021-04-28,GME,6.0,0.00454608637424639
2021-04-29,GME,7.0,-0.013473718283279212
2021-04-30,GME,3.0,-0.01486679627506295
2021-05-03,GME,3.0,-0.06786605291761291
2021-05-05,GME,1.0,-0.007807416276241293
2021-05-06,GME,12.0,0.009547945016728529
2021-05-07,GME,26.0,0.0006209245513761252
2021-05-10,GME,11.0,-0.1177054471892439
2021-05-10,GME,3.0,-0.1177054471892439
2021-05-10,GME,10.0,-0.1177054471892439
2021-05-11,GME,5.0,0.0255062903864632
2021-05-12,GME,8.0,-0.014603838064888802
2021-05-13,GME,4.0,0.1276261997817858
2021-05-14,GME,14.0,-0.02823689146309877
2021-05-17,GME,11.0,0.12161099603632422
2021-05-17,GME,2.0,0.12161099603632422
2021-05-17,GME,2.0,0.12161099603632422
2021-05-18,GME,5.0,0.00038747787238162663
2021-05-19,GME,6.0,-0.06777985031637868
2021-05-20,GME,3.0,0.009784373862344984
2021-05-21,GME,1.0,0.03628587334442094
2021-05-24,GME,9.0,0.018049824845309002
2021-05-24,GME,2.0,0.018049824845309002
2021-05-24,GME,5.0,0.018049824845309002
2021-05-25,GME,2.0,0.1513771452915326
2021-05-26,GME,12.0,0.14685957271057998
2021-05-27,GME,13.0,0.046596873936564066
2021-05-28,GME,13.0,-0.13516858445312704
2021-05-31,GME,2.0,
2021-05-31,GME,8.0,
2021-06-01,GME,5.0,
2021-06-01,GME,2.0,
2021-01-28,CLOV,1.0,0.0
2021-01-29,CLOV,0.0,-0.008565354841851947
2021-02-01,CLOV,0.0,-0.010086496788435121
2021-02-01,CLOV,0.0,-0.010086496788435121
2021-02-01,CLOV,0.0,-0.010086496788435121
2021-02-02,CLOV,0.0,0.01151919457712666
2021-02-03,CLOV,2.0,-0.0014326977886916132
2021-02-04,CLOV,4.0,-0.13158758232511675
2021-02-05,CLOV,11.0,0.055658304116406626
2021-02-08,CLOV,13.0,-0.044276039233006825
2021-02-08,CLOV,2.0,-0.044276039233006825
2021-02-08,CLOV,1.0,-0.044276039233006825
2021-02-09,CLOV,0.0,0.061907737149438924
2021-02-10,CLOV,1.0,-0.05145326999409109
2021-02-11,CLOV,0.0,-0.03998898915875849
2021-02-12,CLOV,0.0,0.005811531041447916
2021-02-15,CLOV,0.0,
2021-02-15,CLOV,0.0,
2021-02-16,CLOV,0.0,-0.05007411425037097
2021-02-16,CLOV,1.0,-0.05007411425037097
2021-02-17,CLOV,0.0,-0.014906026124528668
2021-02-18,CLOV,0.0,-0.04425099184783159
2021-02-19,CLOV,0.0,0.01375534042248958
2021-02-22,CLOV,0.0,0.009066280042699298
2021-02-22,CLOV,0.0,0.009066280042699298
2021-02-22,CLOV,0.0,0.009066280042699298
2021-02-23,CLOV,0.0,-0.08964034487558278
2021-02-24,CLOV,0.0,0.020518554279512564
2021-02-25,CLOV,0.0,-0.06286359760547136
2021-02-26,CLOV,0.0,-0.03244663753778943
2021-03-01,CLOV,1.0,0.09820736251159595
2021-03-01,CLOV,0.0,0.09820736251159595
2021-03-01,CLOV,0.0,0.09820736251159595
2021-03-02,CLOV,0.0,-0.13725784102138025
2021-03-03,CLOV,1.0,-0.0866092056386485
2021-03-04,CLOV,1.0,-0.12854642375785288
2021-03-05,CLOV,0.0,0.07273531303727154
2021-03-08,CLOV,0.0,-0.06453855357547295
2021-03-08,CLOV,2.0,-0.06453855357547295
2021-03-08,CLOV,0.0,-0.06453855357547295
2021-03-09,CLOV,0.0,0.10821354638014213
2021-03-10,CLOV,0.0,-0.009816020835667759
