Date,ticker,mention_count
2021-03-22,PLTR,8
2021-03-22,RKT,12
2021-03-22,SENS,14
2021-03-22,WKHS,1
2021-03-22,WWE,0
2021-03-23,AMC,8
2021-03-23,BB,11
2021-03-23,CLF,0
2021-03-23,CLNE,0
2021-03-23,CLOV,2
2021-03-23,FORD,4
2021-03-23,GME,21
2021-03-23,PLTR,5
2021-03-23,RKT,11
2021-03-23,SENS,8
2021-03-23,WKHS,0
2021-03-23,WWE,0
2021-03-24,AMC,8
2021-03-24,BB,12
2021-03-24,CLF,0
2021-03-24,CLNE,0
2021-03-24,CLOV,1
2021-03-24,FORD,2
2021-03-24,GME,38
2021-03-24,PLTR,8
2021-03-24,RKT,5
2021-03-24,SENS,6
2021-03-24,WKHS,0
2021-03-24,WWE,0
2021-03-25,AMC,15
2021-03-25,BB,12
2021-03-25,CLF,0
2021-03-25,CLNE,0
2021-03-25,CLOV,0
2021-03-25,FORD,6
2021-03-25,GME,44
2021-03-25,PLTR,10
2021-03-25,RKT,4
2021-03-25,SENS,7
2021-03-25,WKHS,1
2021-03-25,WWE,0
2021-03-26,AMC,12
2021-03-26,BB,11
2021-03-26,CLF,2
2021-03-26,CLNE,0
2021-03-26,CLOV,0
2021-03-26,FORD,2
2021-03-26,GME,44
2021-03-26,PLTR,2
2021-03-26,RKT,4
2021-03-26,SENS,2
2021-03-26,WKHS,0
2021-03-26,WWE,0
2021-03-29,AMC,12
2021-03-29,BB,21
2021-03-29,CLF,1
2021-03-29,CLNE,0
2021-03-29,CLOV,0
2021-03-29,FORD,4
2021-03-29,GME,49
2021-03-29,PLTR,4
2021-03-29,RKT,6
2021-03-29,SENS,9
2021-03-29,WKHS,0
2021-03-29,WWE,0
2021-03-30,AMC,3
2021-03-30,BB,8
2021-03-30,CLF,0
2021-03-30,CLNE,0
2021-03-30,CLOV,0
2021-03-30,FORD,1
2021-03-30,GME,11
2021-03-30,PLTR,8
2021-03-30,RKT,15
2021-03-30,SENS,7
2021-03-30,WKHS,0
2021-03-30,WWE,0
2021-03-31,AMC,3
2021-03-31,BB,13
2021-03-31,CLF,1
2021-03-31,CLNE,0
2021-03-31,CLOV,0
2021-03-31,FORD,0
2021-03-31,GME,7
2021-03-31,PLTR,4
2021-03-31,RKT,4
2021-03-31,SENS,3
2021-03-31,WKHS,0
2021-03-31,WWE,0
2021-04-01,AMC,2
2021-04-01,BB,15
2021-04-01,CLF,4
2021-04-01,CLNE,0
2021-04-01,CLOV,0
2021-04-01,FORD,1
2021-04-01,GME,22
2021-04-01,PLTR,6
2021-04-01,RKT,5
2021-04-01,SENS,4
2021-04-01,WKHS,0
2021-04-01,WWE,0
2021-04-05,AMC,6
2021-04-05,BB,19
2021-04-05,CLF,3
2021-04-05,CLNE,0
2021-04-05,CLOV,0
2021-04-05,FORD,5
2021-04-05,GME,27
2021-04-05,PLTR,5
2021-04-05,RKT,4
2021-04-05,SENS,5
2021-04-05,WKHS,0
2021-04-05,WWE,0
2021-04-06,AMC,4
2021-04-06,BB,5
2021-04-06,CLF,0
2021-04-06,CLNE,0
2021-04-06,CLOV,0
2021-04-06,FORD,3
2021-04-06,GME,9
2021-04-06,PLTR,3
2021-04-06,RKT,3
2021-04-06,SENS,2
2021-04-06,WKHS,1
2021-04-06,WWE,0
2021-04-07,AMC,1
2021-04-07,BB,6
2021-04-07,CLF,0
2021-04-07,CLNE,0
2021-04-07,CLOV,0
2021-04-07,FORD,2
2021-04-07,GME,12
2021-04-07,PLTR,1
2021-04-07,RKT,4
2021-04-07,SENS,3
2021-04-07,WKHS,0
